Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",91.725500,-54.943927,-90.000000,top
"C2","10uF","C_0402_1005Metric",93.125500,-57.463927,180.000000,top
"C3","100nF","C_0402_1005Metric",105.005500,-63.863927,-90.000000,top
"C4","100nF","C_0402_1005Metric",98.525500,-64.063927,0.000000,top
"C5","100uF","C_1210_3225Metric",107.405500,-64.588927,-90.000000,top
"C6","1uF","C_0402_1005Metric",98.525500,-63.063927,0.000000,top
"DIR_LED2","LED","LED_0603_1608Metric",92.705500,-63.963927,90.000000,top
"J1","USB_C_Receptacle","USB-C-SMD_TYPEC-324G-BCP24",102.335500,-83.548927,0.000000,top
"J2","U-A-39SS-Y-1","USB-3.0-A_U-A-39SS-Y-1",101.855589,-47.413889,180.000000,top
"J3","A2541WV-2x4P","PinHeader_2x04_P2.54mm_Vertical",112.465500,-68.043927,0.000000,top
"R1","900K","R_0805_2012Metric",104.005500,-58.063927,-90.000000,top
"R2","200K","R_0402_1005Metric",95.895500,-64.163927,0.000000,top
"R3","1K","R_0402_1005Metric",115.495500,-59.263927,180.000000,top
"R4","500K","R_0805_2012Metric",107.303000,-56.843927,180.000000,top
"R5","10K","R_0402_1005Metric",108.055500,-55.343927,180.000000,top
"R6","10K","R_0402_1005Metric",109.805500,-65.863927,90.000000,top
"R7","10K","R_0402_1005Metric",95.905500,-65.263927,0.000000,top
"R8","1k","R_0402_1005Metric",94.105500,-66.763927,90.000000,top
"R9","1k","R_0402_1005Metric",94.495500,-63.163927,180.000000,top
"SW1","DSHP06TSGER_C3293146","SW-SMD_12P-L9.2-W5.4-P1.27-LS8.5",113.805500,-53.863927,90.000000,top
"TP1","VBUS","TestPoint_Keystone_5000-5004_Miniature",115.405500,-80.263927,0.000000,top
"TP2","VCONN","TestPoint_Keystone_5000-5004_Miniature",111.705500,-80.263927,0.000000,top
"TP3","VCC33","TestPoint_Keystone_5000-5004_Miniature",93.305500,-60.163927,0.000000,top
"TP4","GND1","TestPoint_Keystone_5000-5004_Miniature",115.305500,-84.263927,0.000000,top
"TP5","GND2","TestPoint_Keystone_5000-5004_Miniature",111.705500,-84.263927,0.000000,top
"TP6","CC2","TestPoint_Keystone_5000-5004_Miniature",115.705500,-62.263927,0.000000,top
"TP7","CC1","TestPoint_Keystone_5000-5004_Miniature",112.005500,-62.263927,0.000000,top
"U1","HD3SS3220RNHR","HD3SS3220IRNHR",101.605500,-65.663927,-90.000000,top
"U2","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",98.905500,-78.048927,-90.000000,top
"U3","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",105.205500,-78.048927,-90.000000,top
"U4","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",101.405500,-57.648927,-90.000000,top
"U5","HT7533-1_C14289","SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR",94.965500,-54.463927,180.000000,top
"VBUS_LED2","LED","LED_0603_1608Metric",92.705500,-67.038927,90.000000,top
