"Designator","Value","Footprint","Quantity","LCSC","LCSC Part","MPN","Manufacturer"
"C1,C2","10uF","Capacitor_SMD:C_0402_1005Metric","2","C7472949","","",""
"C3,C4","100nF","Capacitor_SMD:C_0402_1005Metric","2","C106204","","",""
"C5","100uF","Capacitor_SMD:C_1210_3225Metric","1","C394395","","",""
"C6","1uF","Capacitor_SMD:C_0402_1005Metric","1","C106204","","",""
"DIR_LED2,VBUS_LED2","LED","LED_SMD:LED_0603_1608Metric","2","C375576","","",""
"J1","USB_C_Receptacle","Interface_USB:USB-C-SMD_TYPEC-324G-BCP24","1","C920230","","",""
"J2","U-A-39SS-Y-1","Interface_USB:USB-3.0-A_U-A-39SS-Y-1","1","C530639","","",""
"J3","A2541WV-2x4P","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","C225519","","",""
"R1","900K","Resistor_SMD:R_0805_2012Metric","1","C52209984","","",""
"R2","200K","Resistor_SMD:R_0402_1005Metric","1","C413111","","",""
"R3","1K","Resistor_SMD:R_0402_1005Metric","1","C242161","","",""
"R4","500K","Resistor_SMD:R_0805_2012Metric","1","C316218","","",""
"R5-R7","10K","Resistor_SMD:R_0402_1005Metric","3","C413111","","",""
"R8,R9","1k","Resistor_SMD:R_0402_1005Metric","2","C242161","","",""
"SW1","DSHP06TSGER_C3293146","UWReality_Labs:SW-SMD_12P-L9.2-W5.4-P1.27-LS8.5","1","","C3293146","DSHP06TSGER","康深"
"TP1","VBUS","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1","","","",""
"TP2","VCONN","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1","","","",""
"TP3","VCC33","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1","","","",""
"TP4","GND1","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1","","","",""
"TP5","GND2","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1","","","",""
"TP6","CC2","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1","","","",""
"TP7","CC1","TestPoint:TestPoint_Keystone_5000-5004_Miniature","1","","","",""
"U1","HD3SS3220RNHR","Interface_USB:HD3SS3220IRNHR","1","C165155","","",""
"U2-U4","TPD4EUSB30","Package_SON:USON-10_2.5x1.0mm_P0.5mm","3","C90627","","",""
"U5","HT7533-1_C14289","Interface_USB:SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR","1","C14289","","",""
